name|address
collosseum|"Piazza del Colosseo, 1, 00184 Roma RM"
st peter's basilicia|"Piazza San Pietro, 00120 Città del Vaticano, Vatican City"
pantheon|"Piazza della Rotonda, 00186 Roma RM"
trevi fountain|"Piazza di Trevi, 00187 Roma RM"
forum|"Via della Salara Vecchia, 5/6, 00186 Roma RM"
sistine chapel|00120 Vatican City
piazza navona|"Piazza Navona, 00186 Roma RM"
spanish steps|"Piazza di Spagna, 00187 Roma RM"
villa borghese|"Piazzale Napoleone I, 00197 Roma RM"
palatine hill|00186 Roma RM
campo de fiori|"Piazza Campo de' Fiori, 00186 Roma RM"
altar of the fatherland|"Piazza Venezia, 00186 Roma RM"
capitoline museums|"Piazza del Campidoglio, 1, 00186 Roma RM"
mouth of truth|"Piazza della Bocca della Verità, 18, 00186 Roma RM"
circus maximus|"Via del Circo Massimo, 00186 Roma RM"
palazzo della civiltà italiana|"Quadrato della Concordia, 3, 00144 Roma RM"